Fx,Fy,Fz,Tx,Ty,r,z
4.6E-01,1.3E-11,0.647,3.0E-10,5.6E+00,14,4
4.2E-01,-8.2E-12,0.598,-1.3E-10,4.9E+00,14,5
3.8E-01,-1.2E-11,0.553,-1.6E-10,4.2E+00,14,6
3.5E-01,1.6E-11,0.513,5.2E-11,3.7E+00,14,7
3.2E-01,1.8E-11,0.476,-3.8E-11,3.2E+00,14,8
2.9E-01,7.3E-12,0.443,1.3E-10,2.8E+00,14,9
2.6E-01,9.7E-12,0.412,-2.9E-10,2.4E+00,14,10
2.4E-01,-9.2E-12,0.384,-1.8E-10,2.1E+00,14,11
2.2E-01,-4.6E-12,0.358,1.1E-10,1.8E+00,14,12
2.0E-01,-4.2E-12,0.334,-9.8E-11,1.6E+00,14,13
1.9E-01,1.7E-12,0.312,8.1E-11,1.4E+00,14,14
1.7E-01,1.0E-11,0.292,1.2E-10,1.2E+00,14,15
7.0E-01,2.0E-11,0.835,-1.4E-10,9.8E+00,15,0
6.3E-01,1.4E-11,0.767,1.3E-10,8.5E+00,15,1
5.7E-01,-4.1E-11,0.706,-2.9E-10,7.3E+00,15,2
5.2E-01,-1.8E-11,0.652,1.2E-10,6.3E+00,15,3
4.7E-01,-3.6E-11,0.603,-2.7E-10,5.5E+00,15,4
4.3E-01,1.7E-11,0.558,-6.0E-10,4.8E+00,15,5
3.9E-01,1.4E-11,0.518,1.9E-10,4.1E+00,15,6
3.6E-01,1.7E-11,0.481,-3.3E-11,3.6E+00,15,7
3.3E-01,-4.2E-13,0.447,7.2E-10,3.1E+00,15,8
3.0E-01,-1.7E-12,0.416,-4.1E-10,2.7E+00,15,9
2.7E-01,9.0E-12,0.388,4.4E-10,2.4E+00,15,10
2.5E-01,-5.2E-12,0.362,-6.3E-10,2.0E+00,15,11
2.3E-01,-6.2E-12,0.338,-1.3E-10,1.8E+00,15,12
2.1E-01,-1.3E-11,0.316,1.2E-10,1.5E+00,15,13
1.9E-01,1.2E-11,0.296,-3.7E-10,1.3E+00,15,14
1.8E-01,5.4E-12,0.277,9.5E-10,1.1E+00,15,15
7.2E-01,-3.6E-13,0.764,8.7E-11,9.4E+00,16,0
6.5E-01,-1.6E-12,0.704,5.4E-10,8.1E+00,16,1
5.9E-01,-1.2E-11,0.650,6.2E-10,7.0E+00,16,2
5.4E-01,1.5E-11,0.601,8.3E-11,6.1E+00,16,3
4.9E-01,-1.3E-11,0.557,4.3E-10,5.3E+00,16,4
4.4E-01,2.0E-11,0.517,6.6E-11,4.6E+00,16,5
4.0E-01,-2.5E-12,0.481,1.8E-10,4.0E+00,16,6
3.7E-01,-9.7E-12,0.447,1.7E-10,3.5E+00,16,7
3.4E-01,2.5E-13,0.417,-4.6E-10,3.0E+00,16,8
3.1E-01,3.7E-12,0.389,-6.2E-10,2.6E+00,16,9
2.8E-01,1.6E-11,0.363,3.5E-10,2.3E+00,16,10
2.6E-01,7.4E-12,0.340,-2.2E-10,2.0E+00,16,11
2.4E-01,1.8E-11,0.318,-1.2E-10,1.7E+00,16,12
2.2E-01,-2.6E-11,0.298,-7.2E-11,1.5E+00,16,13
2.0E-01,1.5E-12,0.279,3.1E-10,1.3E+00,16,14
1.8E-01,-1.2E-11,0.262,-2.7E-10,1.1E+00,16,15
7.4E-01,-4.1E-11,0.691,1.7E-10,8.9E+00,17,0
6.7E-01,3.6E-13,0.638,1.2E-10,7.7E+00,17,1
6.0E-01,2.7E-11,0.591,2.9E-11,6.7E+00,17,2
