x,y,z,runtime
-4.99,5.01,0.00,903
9.98,10.00,-0.00,803
0.01,0.02,-0.00,801
-0.01,-0.00,5.00,908
0.01,-9.96,-0.00,809
0.00,10.02,0.00,986
10.00,-10.00,-0.00,807
-9.94,-9.96,0.02,907
-0.00,4.98,-0.00,802
-9.96,-0.05,4.99,1469
9.99,10.00,0.00,901
-0.07,14.98,4.98,2112
-10.03,9.96,5.01,1458
10.01,-10.03,9.93,1461
9.98,-9.99,-0.00,808
-9.98,10.02,0.01,896
0.00,-9.96,0.01,911
-10.01,-10.01,4.98,1469
0.19,-10.00,0.00,1004
0.04,-9.97,9.95,907
14.89,-5.01,-0.00,803
9.90,0.03,0.00,901
10.06,0.05,4.99,1004
-0.04,10.00,4.99,1459
-0.03,10.04,4.99,1000
-9.98,-10.02,0.00,907
-14.87,5.01,0.01,1003
-9.99,-10.00,4.97,1463
-14.92,15.00,0.02,805
-14.90,4.91,0.01,1002
-4.96,0.03,0.00,902
-0.08,-10.02,-0.00,809
0.02,4.99,0.00,900
9.96,0.03,-0.00,802
-9.93,-9.97,14.98,909
-0.01,-0.00,-0.00,807
0.02,0.02,-0.01,793
9.93,-0.08,5.00,1463
-9.96,0.01,0.00,908
-0.05,-10.02,-0.00,805
9.86,-4.93,-0.00,796
0.02,0.09,0.01,903
10.07,10.00,9.99,1469
9.99,10.00,0.00,903
-9.98,10.03,0.01,905
-0.01,10.01,0.01,1001
-10.01,10.03,0.01,904
-9.96,-9.99,0.01,908
14.94,10.00,0.01,1552
-19.92,0.01,0.01,1005
0.00,9.99,0.01,898
10.02,-10.00,10.02,1462
-0.02,4.96,0.00,902
0.02,0.02,-0.01,804
-4.97,0.04,0.00,905
9.97,10.03,0.00,899
-9.96,9.86,5.00,1468
5.04,-15.00,0.01,1003
-0.01,10.03,0.00,999
-10.01,-5.00,0.00,910
-9.98,-0.03,0.01,909
-0.01,0.02,0.00,903
0.01,-5.19,15.01,808
4.71,-5.31,15.04,812
0.05,-0.01,5.00,906
9.96,10.01,-0.00,803
-10.01,-10.02,0.00,907
0.00,0.02,-0.00,804
-9.98,-0.00,0.00,908
10.01,-9.99,-0.01,805
0.02,-0.04,10.02,908
-0.04,-9.98,0.00,908
9.98,10.01,-0.00,800
-9.99,-10.04,0.01,906
-9.96,-10.01,0.01,906
0.08,-9.98,-0.00,810
-4.86,0.09,14.99,900
9.83,-4.95,-0.00,802
-9.98,-0.02,0.01,909
-10.02,-0.08,10.01,1009
9.97,-10.00,0.00,908
-9.93,-10.01,5.01,1470
-0.01,-10.03,5.00,1005
-0.04,-10.01,0.00,1012
9.99,-10.00,-0.00,805
0.00,-9.96,0.01,909
-0.04,0.04,5.01,912
0.04,-4.94,0.00,904
9.98,10.02,-0.00,805
9.97,0.02,-0.00,801
0.00,-5.13,4.99,1463
-9.98,-9.98,0.01,908
-10.03,10.06,10.02,1460
-0.02,9.90,10.00,905
10.01,-10.02,10.02,1470
